Nursery,Init Emb Sz,Season,n_raw,Mean ± SD (raw),Median (IQR) (raw),n_21d,Mean ± SD (21d),Median (IQR) (21d),% <21d
BS,620,2016–2017,366,63.9 ± 48.1,52.5 (26.0–94.0),290,78.5 ± 43.4,69.0 (42.0–105.8),20.8
BS,620,2017–2018,263,57.7 ± 47.7,49.0 (16.0–83.5),184,78.4 ± 42.6,68.5 (45.8–102.2),30.0
BS,620,2018–2019,320,48.8 ± 35.8,43.5 (20.8–68.0),237,62.1 ± 32.3,54.0 (36.0–80.0),25.9
GS,620,2016–2017,107,27.6 ± 28.9,16.0 (5.0–42.0),45,54.5 ± 26.2,44.0 (35.0–72.0),57.9
GS,620,2017–2018,72,20.8 ± 22.1,10.0 (4.0–33.2),29,43.1 ± 18.6,36.0 (30.0–50.0),59.7
GS,620,2018–2019,108,16.7 ± 21.7,6.0 (2.0–27.0),32,44.3 ± 20.9,37.0 (29.8–49.0),70.4
GP,620,2016–2017,141,28.5 ± 26.9,18.0 (8.0–45.0),66,51.0 ± 23.5,47.5 (32.5–60.0),53.2
GP,620,2017–2018,52,32.6 ± 27.9,24.5 (9.8–49.0),28,52.7 ± 23.2,48.5 (34.0–64.2),46.2
GP,620,2018–2019,58,21.4 ± 19.0,16.5 (6.0–29.8),22,41.0 ± 16.0,37.0 (28.2–53.8),62.1
MB,620,2016–2017,91,59.0 ± 53.3,40.0 (15.0–94.5),60,84.1 ± 49.4,73.5 (40.8–119.2),34.1
MB,620,2017–2018,88,59.4 ± 42.1,53.5 (24.8–81.8),71,70.5 ± 39.2,68.0 (37.0–90.0),19.3
MB,620,2018–2019,47,56.8 ± 40.3,56.0 (24.0–87.5),36,72.2 ± 32.9,69.0 (45.5–94.5),23.4
BS,640,2016–2017,1213,57.4 ± 45.5,46.0 (20.0–89.0),891,74.6 ± 41.1,64.0 (40.0–101.0),26.5
BS,640,2017–2018,1056,51.6 ± 43.9,40.0 (15.0–78.0),710,72.1 ± 39.6,61.0 (39.2–101.0),32.8
BS,640,2018–2019,1304,47.4 ± 38.3,38.0 (17.0–67.0),899,63.8 ± 35.2,55.0 (36.0–82.5),31.1
GS,640,2016–2017,561,35.6 ± 32.2,27.0 (8.0–58.0),310,58.0 ± 27.1,56.0 (37.0–72.8),44.7
GS,640,2017–2018,494,36.5 ± 37.3,27.0 (9.0–48.0),269,59.7 ± 36.8,46.0 (35.0–72.0),45.5
GS,640,2018–2019,668,29.7 ± 32.1,20.0 (5.0–41.2),318,54.5 ± 30.9,43.0 (32.0–70.8),52.4
GP,640,2016–2017,1484,64.0 ± 53.2,48.0 (19.0–102.0),1063,85.2 ± 48.5,73.0 (42.0–124.0),28.4
GP,640,2017–2018,1217,65.4 ± 56.0,48.0 (17.0–104.0),862,88.4 ± 50.9,79.0 (43.0–126.0),29.2
GP,640,2018–2019,1164,55.5 ± 52.6,37.0 (12.0–81.0),761,80.1 ± 49.7,65.0 (39.0–112.0),34.6
MB,640,2016–2017,1287,69.1 ± 52.1,60.0 (24.0–107.0),1002,86.0 ± 46.8,77.0 (45.0–120.0),22.1
MB,640,2017–2018,1150,64.5 ± 45.6,55.0 (28.0–93.0),942,76.5 ± 41.7,66.0 (42.0–102.8),18.1
MB,640,2018–2019,1075,68.2 ± 44.9,59.0 (34.0–98.0),935,77.0 ± 41.5,67.0 (43.0–103.0),13.0
