Hypothesis,NG,start_year,n,mean days ± std,median days (IQR),spawn_local,spawn_external,percent local
620,BS,2016,290,78.5 ± 43.4,69.0 (63.8),128,162,44.1
620,BS,2017,184,78.4 ± 42.6,68.5 (56.5),123,61,66.8
620,BS,2018,237,62.1 ± 32.3,54.0 (44.0),120,117,50.6
620,GS,2016,45,54.5 ± 26.2,44.0 (37.0),0,45,0.0
620,GS,2017,29,43.1 ± 18.6,36.0 (20.0),0,29,0.0
620,GS,2018,32,44.3 ± 20.9,37.0 (19.2),0,32,0.0
620,GP,2016,66,51.0 ± 23.5,47.5 (27.5),0,66,0.0
620,GP,2017,28,52.7 ± 23.2,48.5 (30.2),0,28,0.0
620,GP,2018,22,41.0 ± 16.0,37.0 (25.5),0,22,0.0
620,MB,2016,60,84.1 ± 49.4,73.5 (78.5),38,22,63.3
620,MB,2017,71,70.5 ± 39.2,68.0 (53.0),37,34,52.1
620,MB,2018,36,72.2 ± 32.9,69.0 (49.0),28,8,77.8
640,BS,2016,891,74.6 ± 41.1,64.0 (61.0),305,586,34.2
640,BS,2017,710,72.1 ± 39.6,61.0 (61.8),281,429,39.6
640,BS,2018,899,63.8 ± 35.2,55.0 (46.5),272,627,30.3
640,GS,2016,310,58.0 ± 27.1,56.0 (35.8),76,234,24.5
640,GS,2017,269,59.7 ± 36.8,46.0 (37.0),82,187,30.5
640,GS,2018,318,54.5 ± 30.9,43.0 (38.8),73,245,23.0
640,GP,2016,1063,85.2 ± 48.5,73.0 (82.0),290,773,27.3
640,GP,2017,862,88.4 ± 50.9,79.0 (83.0),309,553,35.8
640,GP,2018,761,80.1 ± 49.7,65.0 (73.0),292,469,38.4
640,MB,2016,1002,86.0 ± 46.8,77.0 (75.0),333,669,33.2
640,MB,2017,942,76.5 ± 41.7,66.0 (60.8),335,607,35.6
640,MB,2018,935,77.0 ± 41.5,67.0 (60.0),322,613,34.4
