Hypothesis,NG,start_year,n,mean days ± std,median days (IQR),spawn_local,spawn_external,percent local
620,BS,2016,366,63.9 ± 48.1,52.5 (68.0),137,229,37.4
620,BS,2017,263,57.7 ± 47.7,49.0 (67.5),144,119,54.8
620,BS,2018,320,48.8 ± 35.8,43.5 (47.2),142,178,44.4
620,GS,2016,107,27.6 ± 28.9,16.0 (37.0),0,107,0.0
620,GS,2017,72,20.8 ± 22.1,10.0 (29.2),0,72,0.0
620,GS,2018,108,16.7 ± 21.7,6.0 (25.0),0,108,0.0
620,GP,2016,141,28.5 ± 26.9,18.0 (37.0),0,141,0.0
620,GP,2017,52,32.6 ± 27.9,24.5 (39.2),0,52,0.0
620,GP,2018,58,21.4 ± 19.0,16.5 (23.8),0,58,0.0
620,MB,2016,91,59.0 ± 53.3,40.0 (79.5),47,44,51.6
620,MB,2017,88,59.4 ± 42.1,53.5 (57.0),42,46,47.7
620,MB,2018,47,56.8 ± 40.3,56.0 (63.5),38,9,80.9
640,BS,2016,1213,57.4 ± 45.5,46.0 (69.0),391,822,32.2
640,BS,2017,1056,51.6 ± 43.9,40.0 (63.0),390,666,36.9
640,BS,2018,1304,47.3 ± 38.3,38.0 (50.0),393,911,30.1
640,GS,2016,561,35.6 ± 32.2,27.0 (50.0),121,440,21.6
640,GS,2017,494,36.5 ± 37.3,27.0 (39.0),121,373,24.5
640,GS,2018,668,29.7 ± 32.2,20.0 (36.2),121,547,18.1
640,GP,2016,1484,64.0 ± 53.2,48.0 (83.0),335,1149,22.6
640,GP,2017,1217,65.4 ± 56.0,48.0 (87.0),335,882,27.5
640,GP,2018,1164,55.5 ± 52.6,37.0 (69.0),332,832,28.5
640,MB,2016,1287,69.1 ± 52.1,60.0 (83.0),355,932,27.6
640,MB,2017,1150,64.5 ± 45.6,55.0 (65.0),352,798,30.6
640,MB,2018,1075,68.2 ± 44.9,59.0 (64.0),350,725,32.6
