hypothesis,NG,start_year,n_raw,n_21d,percent filtered out,percent_local_raw,percent_local_21d,mean_days_raw,mean_days_21d,std_days_raw,std_days_21d,median_days_raw,median_days_21d,iqr_days_raw,iqr_days_21d
h_dvm,BS,2016,366,290,20.8,37.4,44.1,63.88251366120219,78.46206896551725,48.09266022339402,43.38617461765561,52.5,69.0,68.0,63.75
h_dvm,BS,2017,263,184,30.0,54.8,66.8,57.73384030418251,78.41304347826087,47.724614323166726,42.59894356521552,49.0,68.5,67.5,56.5
h_dvm,BS,2018,320,237,25.9,44.4,50.6,48.834375,62.09704641350211,35.84170273271853,32.26760247067426,43.5,54.0,47.25,44.0
h_dvm,GERL,2016,107,45,57.9,0.0,0.0,27.588785046728972,54.51111111111111,28.925393058769355,26.159147732695917,16.0,44.0,37.0,37.0
h_dvm,GERL,2017,72,29,59.7,0.0,0.0,20.819444444444443,43.13793103448276,22.091567691481128,18.602465539221704,10.0,36.0,29.25,20.0
h_dvm,GERL,2018,108,32,70.4,0.0,0.0,16.675925925925927,44.34375,21.73881867656119,20.89236529020481,6.0,37.0,25.0,19.25
h_dvm,GP,2016,141,66,53.2,0.0,0.0,28.52482269503546,51.03030303030303,26.866490429604923,23.537184784911464,18.0,47.5,37.0,27.5
h_dvm,GP,2017,52,28,46.2,0.0,0.0,32.59615384615385,52.714285714285715,27.949014936083813,23.16104191166413,24.5,48.5,39.25,30.25
h_dvm,GP,2018,58,22,62.1,0.0,0.0,21.43103448275862,41.04545454545455,18.975618769436757,16.007371137570676,16.5,37.0,23.75,25.5
h_dvm,MB2,2016,91,60,34.1,51.6,63.3,59.010989010989015,84.08333333333333,53.320518148998275,49.435214123944334,40.0,73.5,79.5,78.5
h_dvm,MB2,2017,88,71,19.3,47.7,52.1,59.375,70.53521126760563,42.0810145030891,39.236583143036846,53.5,68.0,57.0,53.0
h_dvm,MB2,2018,47,36,23.4,80.9,77.8,56.829787234042556,72.22222222222223,40.30552834501909,32.89647059758506,56.0,69.0,63.5,49.0
h_size,BS,2016,1213,891,26.5,32.2,34.2,57.40560593569662,74.59371492704825,45.47911828048842,41.07043723149361,46.0,64.0,69.0,61.0
h_size,BS,2017,1056,710,32.8,36.9,39.6,51.63068181818182,72.08732394366197,43.86370495336775,39.5620700283766,40.0,61.0,63.0,61.75
h_size,BS,2018,1304,899,31.1,30.1,30.3,47.34815950920245,63.793103448275865,38.288098172807906,35.19198881998876,38.0,55.0,50.0,46.5
h_size,GERL,2016,561,310,44.7,21.6,24.5,35.59180035650624,57.9741935483871,32.235504003506286,27.054648850584574,27.0,56.0,50.0,35.75
h_size,GERL,2017,494,269,45.5,24.5,30.5,36.53846153846154,59.70631970260223,37.33622164487933,36.82348978859611,27.0,46.0,39.0,37.0
h_size,GERL,2018,668,318,52.4,18.1,23.0,29.676646706586826,54.4685534591195,32.15195731760755,30.945010021318954,20.0,43.0,36.25,38.75
h_size,GP,2016,1484,1063,28.4,22.6,27.3,64.00741239892183,85.19190968955786,53.210702932621494,48.52151997399645,48.0,73.0,83.0,82.0
h_size,GP,2017,1217,862,29.2,27.5,35.8,65.41824157764997,88.43619489559164,55.96520091113617,50.896720716537004,48.0,79.0,87.0,83.0
h_size,GP,2018,1164,761,34.6,28.5,38.4,55.54639175257732,80.11169513797634,52.6161695919853,49.73246194326713,37.0,65.0,69.0,73.0
h_size,MB2,2016,1287,1002,22.1,27.6,33.2,69.13209013209013,86.00499001996008,52.08997139832229,46.7522107054207,60.0,77.0,83.0,75.0
h_size,MB2,2017,1150,942,18.1,30.6,35.6,64.50173913043479,76.45222929936305,45.57049165596667,41.66733992069072,55.0,66.0,65.0,60.75
h_size,MB2,2018,1075,935,13.0,32.6,34.4,68.18697674418604,76.95935828877005,44.94055060946987,41.52510728366237,59.0,67.0,64.0,60.0
